v0,v1,v2,v3,v4,v5,pattern,label,index
0.215086,0.163204,0.743713,0.21307,0.063921,0.021307,1.0,0,0
0.892551,-0.295269,1.703323,0.098545,0.173119,-0.263674,1.0,0,1
0.892551,-0.295269,1.703323,0.098545,0.173119,-0.263674,1.0,0,2
-0.078065,0.427,-0.770552,0.085228,0.383526,-0.202416,1.0,0,3
1.79509,2.703872,-2.759588,-0.194426,0.431466,-0.716447,1.0,0,4
0.70389,3.06185,1.012207,-0.745744,0.844289,-1.16123,1.0,0,5
0.84258,1.208408,-0.277014,-0.769715,1.227815,-1.57938,1.0,0,6
1.181488,0.835071,5.871397,-1.81642,2.263867,-0.527348,1.0,0,7
7.181868,-6.399219,11.631382,1.062686,1.661945,0.165129,1.0,0,8
-3.468625,1.715658,-8.936735,2.676689,1.685915,0.21307,1.0,0,9
-2.155756,0.073474,-8.944651,1.275755,1.35832,-0.170456,1.0,0,10
2.642334,-10.410077,-3.413779,1.467518,1.15324,-1.203844,1.0,0,11
-1.391244,-5.782561,0.747515,-0.652526,2.106728,-0.186436,1.0,0,12
0.909188,-8.659548,-3.091662,-1.598024,4.261396,0.41815,1.0,0,13
5.10915,2.629576,-16.145061,-4.189485,8.309722,5.816806,1.0,0,14
10.319448,6.517213,-12.135999,-3.718068,10.584243,5.720924,1.0,0,15
27.230717,14.957922,-15.560622,-6.666421,-18.382597,-27.075846,1.0,0,16
17.554668,-13.615913,12.093098,-3.84591,-5.092368,-4.277376,1.0,0,17
13.51442,-3.403003,-1.940441,4.125564,-0.918864,0.234377,1.0,0,18
11.448786,10.182274,-2.445472,-0.649863,-0.6472,1.898985,1.0,0,19
3.986728,2.876294,0.792594,-0.657853,0.948161,1.968232,1.0,0,20
0.243974,1.470855,-1.133085,1.512796,1.82441,2.357085,1.0,0,21
0.373764,2.738702,-1.387107,3.901841,2.213263,2.397035,1.0,0,22
2.075238,-2.412214,3.031585,4.469139,1.5634,1.028062,1.0,0,23
2.16707,-0.96783,2.540443,2.855135,0.284981,-0.388852,1.0,0,24
4.79713,0.908809,-5.380109,1.225151,-0.636546,-0.346238,1.0,0,25
5.820054,-0.553154,0.055608,1.920292,-0.151812,-0.234377,1.0,0,26
